snp,single
SNP1499,1001499
SNP1500,1001500
SNP1501,1001501
SNP1502,1001502
SNP1503,1001503
SNP1504,1001504
SNP1505,1001505
SNP1506,1001506
SNP1507,1001507
SNP1508,1001508
SNP1509,1001509
SNP1510,1001510
SNP1511,1001511
SNP1512,1001512
SNP1513,1001513
SNP1514,1001514
SNP1515,1001515
SNP1516,1001516
SNP1517,1001517
SNP1518,1001518
SNP1519,1001519
SNP1520,1001520
SNP1521,1001521
SNP1522,1001522
SNP1523,1001523
SNP1524,1001524
SNP1525,1001525
SNP1526,1001526
SNP1527,1001527
SNP1528,1001528
SNP1529,1001529
SNP1530,1001530
SNP1531,1001531
SNP1532,1001532
SNP1533,1001533
SNP1534,1001534
SNP1535,1001535
SNP1536,1001536
SNP1537,1001537
SNP1538,1001538
SNP1539,1001539
SNP1540,1001540
SNP1541,1001541
SNP1542,1001542
SNP1543,1001543
SNP1544,1001544
SNP1545,1001545
SNP1546,1001546
SNP1547,1001547
SNP1548,1001548
SNP1549,1001549
SNP1550,1001550
SNP1551,1001551
SNP1552,1001552
SNP1553,1001553
SNP1554,1001554
SNP1555,1001555
SNP1556,1001556
SNP1557,1001557
SNP1558,1001558
SNP1559,1001559
SNP1560,1001560
SNP1561,1001561
SNP1562,1001562
SNP1563,1001563
SNP1564,1001564
SNP1565,1001565
SNP1566,1001566
SNP1567,1001567
SNP1568,1001568
SNP1569,1001569
SNP1570,1001570
SNP1571,1001571
SNP1572,1001572
SNP1573,1001573
SNP1574,1001574
SNP1575,1001575
SNP1576,1001576
SNP1577,1001577
SNP1578,1001578
SNP1579,1001579
SNP1580,1001580
SNP1581,1001581
SNP1582,1001582
SNP1583,1001583
SNP1584,1001584
SNP1585,1001585
SNP1586,1001586
SNP1587,1001587
SNP1588,1001588
SNP1589,1001589
SNP1590,1001590
SNP1591,1001591
SNP1592,1001592
SNP1593,1001593
SNP1594,1001594
SNP1595,1001595
SNP1596,1001596
SNP1597,1001597
SNP1598,1001598
SNP1599,1001599
SNP1600,1001600
SNP1601,1001601
SNP1602,1001602
SNP1603,1001603
SNP1604,1001604
SNP1605,1001605
SNP1606,1001606
SNP1607,1001607
SNP1608,1001608
SNP1609,1001609
SNP1610,1001610
SNP1611,1001611
SNP1612,1001612
SNP1613,1001613
SNP1614,1001614
SNP1615,1001615
SNP1616,1001616
SNP1617,1001617
SNP1618,1001618
SNP1619,1001619
SNP1620,1001620
SNP1621,1001621
SNP1622,1001622
SNP1623,1001623
SNP1624,1001624
SNP1625,1001625
SNP1626,1001626
SNP1627,1001627
SNP1628,1001628
SNP1629,1001629
SNP1630,1001630
SNP1631,1001631
SNP1632,1001632
SNP1633,1001633
SNP1634,1001634
SNP1635,1001635
SNP1636,1001636
SNP1637,1001637
SNP1638,1001638
SNP1639,1001639
SNP1640,1001640
SNP1641,1001641
SNP1642,1001642
SNP1643,1001643
SNP1644,1001644
SNP1645,1001645
SNP1646,1001646
SNP1647,1001647
SNP1648,1001648
SNP1649,1001649
SNP1650,1001650
SNP1651,1001651
SNP1652,1001652
SNP1653,1001653
SNP1654,1001654
SNP1655,1001655
SNP1656,1001656
SNP1657,1001657
SNP1658,1001658
SNP1659,1001659
SNP1660,1001660
SNP1661,1001661
SNP1662,1001662
SNP1663,1001663
SNP1664,1001664
SNP1665,1001665
SNP1666,1001666
SNP1667,1001667
SNP1668,1001668
SNP1669,1001669
SNP1670,1001670
SNP1671,1001671
SNP1672,1001672
SNP1673,1001673
SNP1674,1001674
SNP1675,1001675
SNP1676,1001676
SNP1677,1001677
SNP1678,1001678
SNP1679,1001679
SNP1680,1001680
SNP1681,1001681
SNP1682,1001682
SNP1683,1001683
SNP1684,1001684
SNP1685,1001685
SNP1686,1001686
SNP1687,1001687
SNP1688,1001688
SNP1689,1001689
SNP1690,1001690
SNP1691,1001691
SNP1692,1001692
SNP1693,1001693
SNP1694,1001694
SNP1695,1001695
SNP1696,1001696
SNP1697,1001697
SNP1698,1001698
SNP1699,1001699
SNP1700,1001700
SNP1701,1001701
SNP1702,1001702
SNP1703,1001703
SNP1704,1001704
SNP1705,1001705
SNP1706,1001706
SNP1707,1001707
SNP1708,1001708
SNP1709,1001709
SNP1710,1001710
SNP1711,1001711
SNP1712,1001712
SNP1713,1001713
SNP1714,1001714
SNP1715,1001715
SNP1716,1001716
SNP1717,1001717
SNP1718,1001718
SNP1719,1001719
SNP1720,1001720
SNP1721,1001721
SNP1722,1001722
SNP1723,1001723
SNP1724,1001724
SNP1725,1001725
SNP1726,1001726
SNP1727,1001727
SNP1728,1001728
SNP1729,1001729
SNP1730,1001730
SNP1731,1001731
SNP1732,1001732
SNP1733,1001733
SNP1734,1001734
SNP1735,1001735
SNP1736,1001736
SNP1737,1001737
SNP1738,1001738
SNP1739,1001739
SNP1740,1001740
SNP1741,1001741
SNP1742,1001742
SNP1743,1001743
SNP1744,1001744
SNP1745,1001745
SNP1746,1001746
SNP1747,1001747
SNP1748,1001748
SNP1749,1001749
SNP1750,1001750
SNP1751,1001751
SNP1752,1001752
SNP1753,1001753
SNP1754,1001754
SNP1755,1001755
SNP1756,1001756
SNP1757,1001757
SNP1758,1001758
SNP1759,1001759
SNP1760,1001760
SNP1761,1001761
SNP1762,1001762
SNP1763,1001763
SNP1764,1001764
SNP1765,1001765
SNP1766,1001766
SNP1767,1001767
SNP1768,1001768
SNP1769,1001769
SNP1770,1001770
SNP1771,1001771
SNP1772,1001772
SNP1773,1001773
SNP1774,1001774
SNP1775,1001775
SNP1776,1001776
SNP1777,1001777
SNP1778,1001778
SNP1779,1001779
SNP1780,1001780
SNP1781,1001781
SNP1782,1001782
SNP1783,1001783
SNP1784,1001784
SNP1785,1001785
SNP1786,1001786
SNP1787,1001787
SNP1788,1001788
SNP1789,1001789
SNP1790,1001790
SNP1791,1001791
SNP1792,1001792
SNP1793,1001793
SNP1794,1001794
SNP1795,1001795
SNP1796,1001796
SNP1797,1001797
SNP1798,1001798
SNP1799,1001799
SNP1800,1001800
SNP1801,1001801
SNP1802,1001802
SNP1803,1001803
SNP1804,1001804
SNP1805,1001805
SNP1806,1001806
SNP1807,1001807
SNP1808,1001808
SNP1809,1001809
SNP1810,1001810
SNP1811,1001811
SNP1812,1001812
SNP1813,1001813
SNP1814,1001814
SNP1815,1001815
SNP1816,1001816
SNP1817,1001817
SNP1818,1001818
SNP1819,1001819
SNP1820,1001820
SNP1821,1001821
SNP1822,1001822
SNP1823,1001823
SNP1824,1001824
SNP1825,1001825
SNP1826,1001826
SNP1827,1001827
SNP1828,1001828
SNP1829,1001829
SNP1830,1001830
SNP1831,1001831
SNP1832,1001832
SNP1833,1001833
SNP1834,1001834
SNP1835,1001835
SNP1836,1001836
SNP1837,1001837
SNP1838,1001838
SNP1839,1001839
SNP1840,1001840
SNP1841,1001841
SNP1842,1001842
SNP1843,1001843
SNP1844,1001844
SNP1845,1001845
SNP1846,1001846
SNP1847,1001847
SNP1848,1001848
SNP1849,1001849
SNP1850,1001850
SNP1851,1001851
SNP1852,1001852
SNP1853,1001853
SNP1854,1001854
SNP1855,1001855
SNP1856,1001856
SNP1857,1001857
SNP1858,1001858
SNP1859,1001859
SNP1860,1001860
SNP1861,1001861
SNP1862,1001862
SNP1863,1001863
SNP1864,1001864
SNP1865,1001865
SNP1866,1001866
SNP1867,1001867
SNP1868,1001868
SNP1869,1001869
SNP1870,1001870
SNP1871,1001871
SNP1872,1001872
SNP1873,1001873
SNP1874,1001874
SNP1875,1001875
SNP1876,1001876
SNP1877,1001877
SNP1878,1001878
SNP1879,1001879
SNP1880,1001880
SNP1881,1001881
SNP1882,1001882
SNP1883,1001883
SNP1884,1001884
SNP1885,1001885
SNP1886,1001886
SNP1887,1001887
SNP1888,1001888
SNP1889,1001889
SNP1890,1001890
SNP1891,1001891
SNP1892,1001892
SNP1893,1001893
SNP1894,1001894
SNP1895,1001895
SNP1896,1001896
SNP1897,1001897
SNP1898,1001898
SNP1899,1001899
SNP1900,1001900
SNP1901,1001901
SNP1902,1001902
SNP1903,1001903
SNP1904,1001904
SNP1905,1001905
SNP1906,1001906
SNP1907,1001907
SNP1908,1001908
SNP1909,1001909
SNP1910,1001910
SNP1911,1001911
SNP1912,1001912
SNP1913,1001913
SNP1914,1001914
SNP1915,1001915
SNP1916,1001916
SNP1917,1001917
SNP1918,1001918
SNP1919,1001919
SNP1920,1001920
SNP1921,1001921
SNP1922,1001922
SNP1923,1001923
SNP1924,1001924
SNP1925,1001925
SNP1926,1001926
SNP1927,1001927
SNP1928,1001928
SNP1929,1001929
SNP1930,1001930
SNP1931,1001931
SNP1932,1001932
SNP1933,1001933
SNP1934,1001934
SNP1935,1001935
SNP1936,1001936
SNP1937,1001937
SNP1938,1001938
SNP1939,1001939
SNP1940,1001940
SNP1941,1001941
SNP1942,1001942
SNP1943,1001943
SNP1944,1001944
SNP1945,1001945
SNP1946,1001946
SNP1947,1001947
SNP1948,1001948
SNP1949,1001949
SNP1950,1001950
SNP1951,1001951
SNP1952,1001952
SNP1953,1001953
SNP1954,1001954
SNP1955,1001955
SNP1956,1001956
SNP1957,1001957
SNP1958,1001958
SNP1959,1001959
SNP1960,1001960
SNP1961,1001961
SNP1962,1001962
SNP1963,1001963
SNP1964,1001964
SNP1965,1001965
SNP1966,1001966
SNP1967,1001967
SNP1968,1001968
SNP1969,1001969
SNP1970,1001970
SNP1971,1001971
SNP1972,1001972
SNP1973,1001973
SNP1974,1001974
SNP1975,1001975
SNP1976,1001976
SNP1977,1001977
SNP1978,1001978
SNP1979,1001979
SNP1980,1001980
SNP1981,1001981
SNP1982,1001982
SNP1983,1001983
SNP1984,1001984
SNP1985,1001985
SNP1986,1001986
SNP1987,1001987
SNP1988,1001988
SNP1989,1001989
SNP1990,1001990
SNP1991,1001991
SNP1992,1001992
SNP1993,1001993
SNP1994,1001994
SNP1995,1001995
SNP1996,1001996
SNP1997,1001997
SNP1998,1001998
SNP1999,1001999
SNP2000,1002000
SNP2001,1002001
SNP2002,1002002
SNP2003,1002003
SNP2004,1002004
SNP2005,1002005
SNP2006,1002006
SNP2007,1002007
SNP2008,1002008
SNP2009,1002009
SNP2010,1002010
SNP2011,1002011
SNP2012,1002012
SNP2013,1002013
SNP2014,1002014
SNP2015,1002015
SNP2016,1002016
SNP2017,1002017
SNP2018,1002018
SNP2019,1002019
SNP2020,1002020
SNP2021,1002021
SNP2022,1002022
SNP2023,1002023
SNP2024,1002024
SNP2025,1002025
SNP2026,1002026
SNP2027,1002027
SNP2028,1002028
SNP2029,1002029
SNP2030,1002030
SNP2031,1002031
SNP2032,1002032
SNP2033,1002033
SNP2034,1002034
SNP2035,1002035
SNP2036,1002036
SNP2037,1002037
SNP2038,1002038
SNP2039,1002039
SNP2040,1002040
SNP2041,1002041
SNP2042,1002042
SNP2043,1002043
SNP2044,1002044
SNP2045,1002045
SNP2046,1002046
SNP2047,1002047
SNP2048,1002048
SNP2049,1002049
SNP2050,1002050
SNP2051,1002051
SNP2052,1002052
SNP2053,1002053
SNP2054,1002054
SNP2055,1002055
SNP2056,1002056
SNP2057,1002057
SNP2058,1002058
SNP2059,1002059
SNP2060,1002060
SNP2061,1002061
SNP2062,1002062
SNP2063,1002063
SNP2064,1002064
SNP2065,1002065
SNP2066,1002066
SNP2067,1002067
SNP2068,1002068
SNP2069,1002069
SNP2070,1002070
SNP2071,1002071
SNP2072,1002072
SNP2073,1002073
SNP2074,1002074
SNP2075,1002075
SNP2076,1002076
SNP2077,1002077
SNP2078,1002078
SNP2079,1002079
SNP2080,1002080
SNP2081,1002081
SNP2082,1002082
SNP2083,1002083
SNP2084,1002084
SNP2085,1002085
SNP2086,1002086
SNP2087,1002087
SNP2088,1002088
SNP2089,1002089
SNP2090,1002090
SNP2091,1002091
SNP2092,1002092
SNP2093,1002093
SNP2094,1002094
SNP2095,1002095
SNP2096,1002096
SNP2097,1002097
SNP2098,1002098
SNP2099,1002099
SNP2100,1002100
SNP2101,1002101
SNP2102,1002102
SNP2103,1002103
SNP2104,1002104
SNP2105,1002105
SNP2106,1002106
SNP2107,1002107
SNP2108,1002108
SNP2109,1002109
SNP2110,1002110
SNP2111,1002111
SNP2112,1002112
SNP2113,1002113
SNP2114,1002114
SNP2115,1002115
SNP2116,1002116
SNP2117,1002117
SNP2118,1002118
SNP2119,1002119
SNP2120,1002120
SNP2121,1002121
SNP2122,1002122
SNP2123,1002123
SNP2124,1002124
SNP2125,1002125
SNP2126,1002126
SNP2127,1002127
SNP2128,1002128
SNP2129,1002129
SNP2130,1002130
SNP2131,1002131
SNP2132,1002132
SNP2133,1002133
SNP2134,1002134
SNP2135,1002135
SNP2136,1002136
SNP2137,1002137
SNP2138,1002138
SNP2139,1002139
SNP2140,1002140
SNP2141,1002141
SNP2142,1002142
SNP2143,1002143
SNP2144,1002144
SNP2145,1002145
SNP2146,1002146
SNP2147,1002147
SNP2148,1002148
SNP2149,1002149
SNP2150,1002150
SNP2151,1002151
SNP2152,1002152
SNP2153,1002153
SNP2154,1002154
SNP2155,1002155
SNP2156,1002156
SNP2157,1002157
SNP2158,1002158
SNP2159,1002159
SNP2160,1002160
SNP2161,1002161
SNP2162,1002162
SNP2163,1002163
SNP2164,1002164
SNP2165,1002165
SNP2166,1002166
SNP2167,1002167
SNP2168,1002168
SNP2169,1002169
SNP2170,1002170
SNP2171,1002171
SNP2172,1002172
SNP2173,1002173
SNP2174,1002174
SNP2175,1002175
SNP2176,1002176
SNP2177,1002177
SNP2178,1002178
SNP2179,1002179
SNP2180,1002180
SNP2181,1002181
SNP2182,1002182
SNP2183,1002183
SNP2184,1002184
SNP2185,1002185
SNP2186,1002186
SNP2187,1002187
SNP2188,1002188
SNP2189,1002189
SNP2190,1002190
SNP2191,1002191
SNP2192,1002192
SNP2193,1002193
SNP2194,1002194
SNP2195,1002195
SNP2196,1002196
SNP2197,1002197
SNP2198,1002198
SNP2199,1002199
SNP2200,1002200
SNP2201,1002201
SNP2202,1002202
SNP2203,1002203
SNP2204,1002204
SNP2205,1002205
SNP2206,1002206
SNP2207,1002207
SNP2208,1002208
SNP2209,1002209
SNP2210,1002210
SNP2211,1002211
SNP2212,1002212
SNP2213,1002213
SNP2214,1002214
SNP2215,1002215
SNP2216,1002216
SNP2217,1002217
SNP2218,1002218
SNP2219,1002219
SNP2220,1002220
SNP2221,1002221
SNP2222,1002222
SNP2223,1002223
SNP2224,1002224
SNP2225,1002225
SNP2226,1002226
SNP2227,1002227
SNP2228,1002228
SNP2229,1002229
SNP2230,1002230
SNP2231,1002231
SNP2232,1002232
SNP2233,1002233
SNP2234,1002234
SNP2235,1002235
SNP2236,1002236
SNP2237,1002237
SNP2238,1002238
SNP2239,1002239
SNP2240,1002240
SNP2241,1002241
SNP2242,1002242
SNP2243,1002243
SNP2244,1002244
SNP2245,1002245
SNP2246,1002246
SNP2247,1002247
SNP2248,1002248
SNP2249,1002249
SNP2250,1002250
SNP2251,1002251
SNP2252,1002252
SNP2253,1002253
SNP2254,1002254
SNP2255,1002255
SNP2256,1002256
SNP2257,1002257
SNP2258,1002258
SNP2259,1002259
SNP2260,1002260
SNP2261,1002261
SNP2262,1002262
SNP2263,1002263
SNP2264,1002264
SNP2265,1002265
SNP2266,1002266
SNP2267,1002267
SNP2268,1002268
SNP2269,1002269
SNP2270,1002270
SNP2271,1002271
SNP2272,1002272
SNP2273,1002273
SNP2274,1002274
SNP2275,1002275
SNP2276,1002276
SNP2277,1002277
SNP2278,1002278
SNP2279,1002279
SNP2280,1002280
SNP2281,1002281
SNP2282,1002282
SNP2283,1002283
SNP2284,1002284
SNP2285,1002285
SNP2286,1002286
SNP2287,1002287
SNP2288,1002288
SNP2289,1002289
SNP2290,1002290
SNP2291,1002291
SNP2292,1002292
SNP2293,1002293
SNP2294,1002294
SNP2295,1002295
SNP2296,1002296
SNP2297,1002297
SNP2298,1002298
SNP2299,1002299
SNP2300,1002300
SNP2301,1002301
SNP2302,1002302
SNP2303,1002303
SNP2304,1002304
SNP2305,1002305
SNP2306,1002306
SNP2307,1002307
SNP2308,1002308
SNP2309,1002309
SNP2310,1002310
SNP2311,1002311
SNP2312,1002312
SNP2313,1002313
SNP2314,1002314
SNP2315,1002315
SNP2316,1002316
SNP2317,1002317
SNP2318,1002318
SNP2319,1002319
SNP2320,1002320
SNP2321,1002321
SNP2322,1002322
SNP2323,1002323
SNP2324,1002324
SNP2325,1002325
SNP2326,1002326
SNP2327,1002327
SNP2328,1002328
SNP2329,1002329
SNP2330,1002330
SNP2331,1002331
SNP2332,1002332
SNP2333,1002333
SNP2334,1002334
SNP2335,1002335
SNP2336,1002336
SNP2337,1002337
SNP2338,1002338
SNP2339,1002339
SNP2340,1002340
SNP2341,1002341
SNP2342,1002342
SNP2343,1002343
SNP2344,1002344
SNP2345,1002345
SNP2346,1002346
SNP2347,1002347
SNP2348,1002348
SNP2349,1002349
SNP2350,1002350
SNP2351,1002351
SNP2352,1002352
SNP2353,1002353
SNP2354,1002354
SNP2355,1002355
SNP2356,1002356
SNP2357,1002357
SNP2358,1002358
SNP2359,1002359
SNP2360,1002360
SNP2361,1002361
SNP2362,1002362
SNP2363,1002363
SNP2364,1002364
SNP2365,1002365
SNP2366,1002366
SNP2367,1002367
SNP2368,1002368
SNP2369,1002369
SNP2370,1002370
SNP2371,1002371
SNP2372,1002372
SNP2373,1002373
SNP2374,1002374
SNP2375,1002375
SNP2376,1002376
SNP2377,1002377
SNP2378,1002378
SNP2379,1002379
SNP2380,1002380
SNP2381,1002381
SNP2382,1002382
SNP2383,1002383
SNP2384,1002384
SNP2385,1002385
SNP2386,1002386
SNP2387,1002387
SNP2388,1002388
SNP2389,1002389
SNP2390,1002390
SNP2391,1002391
SNP2392,1002392
SNP2393,1002393
SNP2394,1002394
SNP2395,1002395
SNP2396,1002396
SNP2397,1002397
SNP2398,1002398
SNP2399,1002399
SNP2400,1002400
SNP2401,1002401
SNP2402,1002402
SNP2403,1002403
SNP2404,1002404
SNP2405,1002405
SNP2406,1002406
SNP2407,1002407
SNP2408,1002408
SNP2409,1002409
SNP2410,1002410
SNP2411,1002411
SNP2412,1002412
SNP2413,1002413
SNP2414,1002414
SNP2415,1002415
SNP2416,1002416
SNP2417,1002417
SNP2418,1002418
SNP2419,1002419
SNP2420,1002420
SNP2421,1002421
SNP2422,1002422
SNP2423,1002423
SNP2424,1002424
SNP2425,1002425
SNP2426,1002426
SNP2427,1002427
SNP2428,1002428
SNP2429,1002429
SNP2430,1002430
SNP2431,1002431
SNP2432,1002432
SNP2433,1002433
SNP2434,1002434
SNP2435,1002435
SNP2436,1002436
SNP2437,1002437
SNP2438,1002438
SNP2439,1002439
SNP2440,1002440
SNP2441,1002441
SNP2442,1002442
SNP2443,1002443
SNP2444,1002444
SNP2445,1002445
SNP2446,1002446
SNP2447,1002447
SNP2448,1002448
SNP2449,1002449
SNP2450,1002450
SNP2451,1002451
SNP2452,1002452
SNP2453,1002453
SNP2454,1002454
SNP2455,1002455
SNP2456,1002456
SNP2457,1002457
SNP2458,1002458
SNP2459,1002459
SNP2460,1002460
SNP2461,1002461
SNP2462,1002462
SNP2463,1002463
SNP2464,1002464
SNP2465,1002465
SNP2466,1002466
SNP2467,1002467
SNP2468,1002468
SNP2469,1002469
SNP2470,1002470
SNP2471,1002471
SNP2472,1002472
SNP2473,1002473
SNP2474,1002474
SNP2475,1002475
SNP2476,1002476
SNP2477,1002477
SNP2478,1002478
SNP2479,1002479
SNP2480,1002480
SNP2481,1002481
SNP2482,1002482
SNP2483,1002483
SNP2484,1002484
SNP2485,1002485
SNP2486,1002486
SNP2487,1002487
SNP2488,1002488
SNP2489,1002489
SNP2490,1002490
SNP2491,1002491
SNP2492,1002492
SNP2493,1002493
SNP2494,1002494
SNP2495,1002495
SNP2496,1002496
SNP2497,1002497
SNP2498,1002498
SNP2499,1002499
SNP2500,1002500
SNP2501,1002501
SNP2502,1002502
SNP2503,1002503
SNP2504,1002504
SNP2505,1002505
SNP2506,1002506
SNP2507,1002507
SNP2508,1002508
SNP2509,1002509
SNP2510,1002510
SNP2511,1002511
SNP2512,1002512
SNP2513,1002513
SNP2514,1002514
SNP2515,1002515
SNP2516,1002516
SNP2517,1002517
SNP2518,1002518
SNP2519,1002519
SNP2520,1002520
SNP2521,1002521
SNP2522,1002522
SNP2523,1002523
SNP2524,1002524
SNP2525,1002525
SNP2526,1002526
SNP2527,1002527
SNP2528,1002528
SNP2529,1002529
SNP2530,1002530
SNP2531,1002531
SNP2532,1002532
SNP2533,1002533
SNP2534,1002534
SNP2535,1002535
SNP2536,1002536
SNP2537,1002537
SNP2538,1002538
SNP2539,1002539
SNP2540,1002540
SNP2541,1002541
SNP2542,1002542
SNP2543,1002543
SNP2544,1002544
SNP2545,1002545
SNP2546,1002546
SNP2547,1002547
SNP2548,1002548
SNP2549,1002549
SNP2550,1002550
SNP2551,1002551
SNP2552,1002552
SNP2553,1002553
SNP2554,1002554
SNP2555,1002555
SNP2556,1002556
SNP2557,1002557
SNP2558,1002558
SNP2559,1002559
SNP2560,1002560
SNP2561,1002561
SNP2562,1002562
SNP2563,1002563
SNP2564,1002564
SNP2565,1002565
SNP2566,1002566
SNP2567,1002567
SNP2568,1002568
SNP2569,1002569
SNP2570,1002570
SNP2571,1002571
SNP2572,1002572
SNP2573,1002573
SNP2574,1002574
SNP2575,1002575
SNP2576,1002576
SNP2577,1002577
SNP2578,1002578
SNP2579,1002579
SNP2580,1002580
SNP2581,1002581
SNP2582,1002582
SNP2583,1002583
SNP2584,1002584
SNP2585,1002585
SNP2586,1002586
SNP2587,1002587
SNP2588,1002588
SNP2589,1002589
SNP2590,1002590
SNP2591,1002591
SNP2592,1002592
SNP2593,1002593
SNP2594,1002594
SNP2595,1002595
SNP2596,1002596
SNP2597,1002597
SNP2598,1002598
SNP2599,1002599
SNP2600,1002600
SNP2601,1002601
SNP2602,1002602
SNP2603,1002603
SNP2604,1002604
SNP2605,1002605
SNP2606,1002606
SNP2607,1002607
SNP2608,1002608
SNP2609,1002609
SNP2610,1002610
SNP2611,1002611
SNP2612,1002612
SNP2613,1002613
SNP2614,1002614
SNP2615,1002615
SNP2616,1002616
SNP2617,1002617
SNP2618,1002618
SNP2619,1002619
SNP2620,1002620
SNP2621,1002621
SNP2622,1002622
SNP2623,1002623
SNP2624,1002624
SNP2625,1002625
SNP2626,1002626
SNP2627,1002627
SNP2628,1002628
SNP2629,1002629
SNP2630,1002630
SNP2631,1002631
SNP2632,1002632
SNP2633,1002633
SNP2634,1002634
SNP2635,1002635
SNP2636,1002636
SNP2637,1002637
SNP2638,1002638
SNP2639,1002639
SNP2640,1002640
SNP2641,1002641
SNP2642,1002642
SNP2643,1002643
SNP2644,1002644
SNP2645,1002645
SNP2646,1002646
SNP2647,1002647
SNP2648,1002648
SNP2649,1002649
SNP2650,1002650
SNP2651,1002651
SNP2652,1002652
SNP2653,1002653
SNP2654,1002654
SNP2655,1002655
SNP2656,1002656
SNP2657,1002657
SNP2658,1002658
SNP2659,1002659
SNP2660,1002660
SNP2661,1002661
SNP2662,1002662
SNP2663,1002663
SNP2664,1002664
SNP2665,1002665
SNP2666,1002666
SNP2667,1002667
SNP2668,1002668
SNP2669,1002669
SNP2670,1002670
SNP2671,1002671
SNP2672,1002672
SNP2673,1002673
SNP2674,1002674
SNP2675,1002675
SNP2676,1002676
SNP2677,1002677
SNP2678,1002678
SNP2679,1002679
SNP2680,1002680
SNP2681,1002681
SNP2682,1002682
SNP2683,1002683
SNP2684,1002684
SNP2685,1002685
SNP2686,1002686
SNP2687,1002687
SNP2688,1002688
SNP2689,1002689
SNP2690,1002690
SNP2691,1002691
SNP2692,1002692
SNP2693,1002693
SNP2694,1002694
SNP2695,1002695
SNP2696,1002696
SNP2697,1002697
SNP2698,1002698
SNP2699,1002699
SNP2700,1002700
SNP2701,1002701
SNP2702,1002702
SNP2703,1002703
SNP2704,1002704
SNP2705,1002705
SNP2706,1002706
SNP2707,1002707
SNP2708,1002708
SNP2709,1002709
SNP2710,1002710
SNP2711,1002711
SNP2712,1002712
SNP2713,1002713
SNP2714,1002714
SNP2715,1002715
SNP2716,1002716
SNP2717,1002717
SNP2718,1002718
SNP2719,1002719
SNP2720,1002720
SNP2721,1002721
SNP2722,1002722
SNP2723,1002723
SNP2724,1002724
SNP2725,1002725
SNP2726,1002726
SNP2727,1002727
SNP2728,1002728
SNP2729,1002729
SNP2730,1002730
SNP2731,1002731
SNP2732,1002732
SNP2733,1002733
SNP2734,1002734
SNP2735,1002735
SNP2736,1002736
SNP2737,1002737
SNP2738,1002738
SNP2739,1002739
SNP2740,1002740
SNP2741,1002741
SNP2742,1002742
SNP2743,1002743
SNP2744,1002744
SNP2745,1002745
SNP2746,1002746
SNP2747,1002747
SNP2748,1002748
SNP2749,1002749
SNP2750,1002750
SNP2751,1002751
SNP2752,1002752
SNP2753,1002753
SNP2754,1002754
SNP2755,1002755
SNP2756,1002756
SNP2757,1002757
SNP2758,1002758
SNP2759,1002759
SNP2760,1002760
SNP2761,1002761
SNP2762,1002762
SNP2763,1002763
SNP2764,1002764
SNP2765,1002765
SNP2766,1002766
SNP2767,1002767
SNP2768,1002768
SNP2769,1002769
SNP2770,1002770
SNP2771,1002771
SNP2772,1002772
SNP2773,1002773
SNP2774,1002774
SNP2775,1002775
SNP2776,1002776
SNP2777,1002777
SNP2778,1002778
SNP2779,1002779
SNP2780,1002780
SNP2781,1002781
SNP2782,1002782
SNP2783,1002783
SNP2784,1002784
SNP2785,1002785
SNP2786,1002786
SNP2787,1002787
SNP2788,1002788
SNP2789,1002789
SNP2790,1002790
SNP2791,1002791
SNP2792,1002792
SNP2793,1002793
SNP2794,1002794
SNP2795,1002795
SNP2796,1002796
SNP2797,1002797
SNP2798,1002798
SNP2799,1002799
SNP2800,1002800
SNP2801,1002801
SNP2802,1002802
SNP2803,1002803
SNP2804,1002804
SNP2805,1002805
SNP2806,1002806
SNP2807,1002807
SNP2808,1002808
SNP2809,1002809
SNP2810,1002810
SNP2811,1002811
SNP2812,1002812
SNP2813,1002813
SNP2814,1002814
SNP2815,1002815
SNP2816,1002816
SNP2817,1002817
SNP2818,1002818
SNP2819,1002819
SNP2820,1002820
SNP2821,1002821
SNP2822,1002822
SNP2823,1002823
SNP2824,1002824
SNP2825,1002825
SNP2826,1002826
SNP2827,1002827
SNP2828,1002828
SNP2829,1002829
SNP2830,1002830
SNP2831,1002831
SNP2832,1002832
SNP2833,1002833
SNP2834,1002834
SNP2835,1002835
SNP2836,1002836
SNP2837,1002837
SNP2838,1002838
SNP2839,1002839
SNP2840,1002840
SNP2841,1002841
SNP2842,1002842
SNP2843,1002843
SNP2844,1002844
SNP2845,1002845
SNP2846,1002846
SNP2847,1002847
SNP2848,1002848
SNP2849,1002849
SNP2850,1002850
SNP2851,1002851
SNP2852,1002852
SNP2853,1002853
SNP2854,1002854
SNP2855,1002855
SNP2856,1002856
SNP2857,1002857
SNP2858,1002858
SNP2859,1002859
SNP2860,1002860
SNP2861,1002861
SNP2862,1002862
SNP2863,1002863
SNP2864,1002864
SNP2865,1002865
SNP2866,1002866
SNP2867,1002867
SNP2868,1002868
SNP2869,1002869
SNP2870,1002870
SNP2871,1002871
SNP2872,1002872
SNP2873,1002873
SNP2874,1002874
SNP2875,1002875
SNP2876,1002876
SNP2877,1002877
SNP2878,1002878
SNP2879,1002879
SNP2880,1002880
SNP2881,1002881
SNP2882,1002882
SNP2883,1002883
SNP2884,1002884
SNP2885,1002885
SNP2886,1002886
SNP2887,1002887
SNP2888,1002888
SNP2889,1002889
SNP2890,1002890
SNP2891,1002891
SNP2892,1002892
SNP2893,1002893
SNP2894,1002894
SNP2895,1002895
SNP2896,1002896
SNP2897,1002897
